Date,Open,High,Low,Close,Volume,Days to Expiration
2024-04-05 14:00:00,24.69,24.69,24.69,24.69,1,48
2024-04-05 16:00:00,27.07,27.07,27.07,27.07,1,48
2024-04-05 19:00:00,26.66,26.74,26.66,26.74,2,48
2024-04-08 13:00:00,26.56,26.56,26.56,26.56,1,45
2024-04-08 15:00:00,26.35,26.35,26.35,26.35,1,45
2024-04-09 17:00:00,24.56,24.56,24.56,24.56,1,44
2024-04-10 13:00:00,22.03,22.03,22.03,22.03,1,43
2024-04-11 14:00:00,21.24,21.24,21.24,21.24,20,42
2024-04-11 19:00:00,25.68,25.68,25.68,25.68,1,42
2024-04-12 15:00:00,21.85,21.99,21.85,21.99,11,41
2024-04-12 17:00:00,19.66,19.85,19.66,19.85,4,41
2024-04-12 19:00:00,19.06,19.06,19.06,19.06,1,41
2024-04-15 13:00:00,22.47,22.47,22.15,22.15,21,38
2024-04-15 14:00:00,20.3,20.3,20.09,20.09,10,38
2024-04-15 16:00:00,20.65,20.65,20.65,20.65,5,38
2024-04-15 17:00:00,16.92,16.92,16.92,16.92,1,38
2024-04-15 19:00:00,15.28,15.65,15.28,15.65,3,38
2024-04-16 13:00:00,14.7,15.32,14.7,15.32,2,37
2024-04-16 17:00:00,14.92,14.92,14.15,14.69,3,37
2024-04-16 18:00:00,16.11,16.11,16.11,16.11,1,37
2024-04-16 19:00:00,15.46,15.69,14.37,14.37,102,37
2024-04-17 15:00:00,13.08,13.08,13.08,13.08,1,36
2024-04-17 16:00:00,12.76,12.76,11.89,12.15,91,36
2024-04-17 17:00:00,12.28,13.4,12.28,13.4,262,36
2024-04-17 18:00:00,13.5,13.58,13.22,13.22,55,36
2024-04-17 19:00:00,12.6,12.79,12.28,12.28,167,36
2024-04-18 13:00:00,12.68,12.69,11.66,12.3,522,35
2024-04-18 14:00:00,12,13.54,12,13.54,238,35
2024-04-18 15:00:00,13.79,13.79,13.4,13.4,5,35
2024-04-18 16:00:00,12.33,12.33,12.03,12.11,37,35
2024-04-18 17:00:00,12.17,12.17,11.15,11.41,160,35
2024-04-18 18:00:00,11.37,11.65,10.9,11.21,67,35
2024-04-18 19:00:00,11.21,11.81,11.17,11.19,349,35
2024-04-19 13:00:00,11.1,11.6,10.96,11.03,56,34
2024-04-19 14:00:00,11.11,11.11,10.29,10.79,47,34
2024-04-19 15:00:00,10.29,10.51,9.89,9.89,55,34
2024-04-19 16:00:00,9.82,9.82,9.05,9.8,102,34
2024-04-19 17:00:00,9.85,10.2,9.73,9.96,151,34
2024-04-19 18:00:00,9.5,9.57,8.52,8.88,43,34
2024-04-19 19:00:00,8.72,8.96,8.4,8.4,48,34
2024-04-22 13:00:00,9.63,9.65,9.2,9.5,95,31
2024-04-22 14:00:00,9.54,9.7,8.69,8.69,105,31
2024-04-22 15:00:00,8.54,9.18,8.45,9.18,42,31
2024-04-22 16:00:00,9.34,9.5,9.15,9.45,68,31
2024-04-22 17:00:00,9.54,11.51,9.54,11.29,99,31
2024-04-22 18:00:00,11.29,11.82,10.87,10.96,181,31
2024-04-22 19:00:00,11.09,11.09,9.77,9.77,84,31
2024-04-23 13:00:00,11.2,12.02,10.93,11.95,61,30
2024-04-23 14:00:00,11.96,13.36,11.96,12.84,119,30
2024-04-23 15:00:00,12.82,13.31,12.7,12.89,22,30
2024-04-23 16:00:00,13.48,13.6,13.48,13.6,7,30
2024-04-23 17:00:00,13.47,13.8,13.32,13.72,15,30
2024-04-23 18:00:00,13.69,13.69,13.69,13.69,2,30
2024-04-23 19:00:00,13,13.33,13,13,31,30
2024-04-24 13:00:00,13.73,13.73,13.73,13.73,90,29
2024-04-24 14:00:00,13.6,13.6,13.04,13.04,8,29
2024-04-24 15:00:00,12.79,12.79,12.14,12.14,400,29
2024-04-24 16:00:00,12.26,12.26,12,12.17,3,29
2024-04-24 17:00:00,12.79,12.79,12.79,12.79,10,29
2024-04-24 19:00:00,12.99,12.99,12.99,12.99,12,29
2024-04-25 13:00:00,9.25,9.47,8.87,9.15,124,28
2024-04-25 14:00:00,8.8,9.61,8.75,8.97,120,28
2024-04-25 15:00:00,9.24,9.78,9.2,9.78,204,28
2024-04-25 16:00:00,9.79,10.79,9.77,10.79,72,28
2024-04-25 17:00:00,10.7,11.8,10.51,11.68,49,28
2024-04-25 18:00:00,11.51,11.74,11.12,11.12,4,28
2024-04-25 19:00:00,11.24,12.07,11.24,11.63,38,28
2024-04-26 13:00:00,11.76,13.85,11.76,13.85,21,27
2024-04-26 14:00:00,14.4,15.11,14.4,14.88,43,27
2024-04-26 15:00:00,15.55,15.55,15.16,15.16,2,27
2024-04-26 16:00:00,14.92,15.22,14.8,15.22,9,27
2024-04-26 17:00:00,15.55,15.55,15.38,15.38,13,27
2024-04-26 19:00:00,15.1,15.21,14.59,14.59,7,27
2024-04-29 13:00:00,15.6,16.04,14.99,14.99,13,24
2024-04-29 14:00:00,15.64,15.64,15.48,15.48,2,24
2024-04-29 15:00:00,15.32,15.32,15.11,15.11,3,24
2024-04-29 17:00:00,15.65,15.65,15.65,15.65,1,24
2024-04-29 18:00:00,15.04,15.04,15.04,15.04,3,24
2024-04-29 19:00:00,14.32,14.32,14.32,14.32,1,24
2024-04-30 13:00:00,14.15,14.17,14.15,14.17,2,23
2024-04-30 15:00:00,13.32,13.32,12.43,12.88,7,23
2024-04-30 16:00:00,12.3,12.3,12.3,12.3,1,23
2024-04-30 17:00:00,12.1,12.38,12.1,12.38,4,23
2024-04-30 18:00:00,12.6,12.6,12.28,12.28,3,23
2024-04-30 19:00:00,11.65,11.65,10.32,10.32,16,23
2024-05-01 13:00:00,9.47,9.47,8.98,9.03,96,22
2024-05-01 14:00:00,9.19,9.48,9.07,9.48,14,22
2024-05-01 15:00:00,9.02,9.02,8.7,8.83,26,22
2024-05-01 16:00:00,9.08,9.08,9.02,9.02,6,22
2024-05-01 17:00:00,8.99,9.18,8.99,9.18,12,22
2024-05-01 18:00:00,10.18,12.6,9.77,12.6,14,22
2024-05-01 19:00:00,13,13.09,8.48,8.48,100,22
2024-05-02 13:00:00,10.42,10.42,9.4,9.4,34,21
2024-05-02 14:00:00,8.84,9.52,8.19,9.14,89,21
2024-05-02 15:00:00,9.55,9.71,9.35,9.66,47,21
2024-05-02 17:00:00,10.17,10.17,10.17,10.17,3,21
2024-05-02 19:00:00,11.33,11.4,10.76,10.76,11,21
2024-05-03 13:00:00,15.1,15.58,14.5,15.56,18,20
2024-05-03 14:00:00,15.59,15.59,14.28,14.28,4,20
2024-05-03 15:00:00,13.89,13.89,13.89,13.89,2,20
2024-05-03 16:00:00,14.95,15.02,14.95,15.02,4,20
2024-05-03 17:00:00,14.96,15.23,14.96,15.23,13,20
2024-05-03 18:00:00,15.66,15.69,15.36,15.36,20,20
2024-05-03 19:00:00,15.38,15.38,15.38,15.38,2,20
